Scrollable Height,	 UIM/VIM Name,		 Type,	 UIM References,	 Dupliacte,	 Number of Scrollable Lists,	 Expandable List Ref,	 CADG Page,	
120,	 AddProspectEmployer_duplicateCheckWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AddProspectEmployer_duplicateCheckWizard.html,	
120,	 InvestigationDelivery_listFindingHistoryView.vim,		 Modal,	 InvestigationDelivery_listFindingHistory.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/InvestigationDelivery_listFindingHistory.html,	
120,	 Financial_refundPaymentSearchPerson.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Financial_refundPaymentSearchPerson.html,	
120,	 SearchForProviderOffering.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/SearchForProviderOffering.html,	
120,	 ProspectPerson_duplicateCheckViewWizard.vim,		 Modal,	 ProspectPerson_duplicateCheckWizard.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProspectPerson_duplicateCheckWizard.html,	
120,	 RegisterProductProvider_duplicateCheckWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/RegisterProductProvider_duplicateCheckWizard.html,	
120,	 ICInvestigationDelivery_listMilestoneWaiverRequestModal.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ICInvestigationDelivery_listMilestoneWaiverRequestModal.html,	
120,	 RegisterEducationalInstitute_duplicateCheckWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/RegisterEducationalInstitute_duplicateCheckWizard.html,	
120,	 Intake_duplicateCheckForRegisterProspectPerson.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Intake_duplicateCheckForRegisterProspectPerson.html,	
120,	 RegisterEmployer_duplicateCheckWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/RegisterEmployer_duplicateCheckWizard.html,	
120,	 OutcomePlan_home.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_home.html,	
